# The format of each line is
# <NearAS, NearBR, FarAS, DstPrfx>|(FarIPs in IXP),(FarIPs not in IXP)
<AS6939, lis1, AS15133, 2606:2800:133::/48>|(2001:7f8:d5::3b1d:0:1, 2001:7f8:a:1::175, 2001:7f8:c7::1:5133:1);()
<AS6939, lis1, AS13335, 2400:cb00:107::/48>|(2001:7f8:a:1::20, 2001:7f8:c7::1:3335:1, 2001:7f8:d5::3417:0:1);()
<AS6939, hkg1, AS15169, 2404:6800:4002::/48>|(2001:de8:7::1:5169:1, 2001:df0:296::a501:5169:2, 2001:7fa:0:1::ca28:a10a);()
<AS6939, hkg1, AS23881, 2400:c300::/48>|(2001:7fa:0:1::ca28:a041, 2001:7fa:0:1::ca28:a0fd, 2001:7fa:0:1::ca28:a11f);()
<AS6939, hkg1, AS16509, 2600:9000:1012::/48>|(2001:7fa:0:1::ca28:a1da, 2001:de8:7::1:6509:1, 2001:7fa:0:1::ca28:a1db);()
<AS6939, tyo1, AS13335, 2400:cb00:f00e::/48>|(2001:de8:8::1:3335:1, 2001:de8:c::1:3335:1, 2001:de8:5::1:3335:1);()
<AS6939, tyo1, AS2635, 2a04:fa87:fffe::/48>|(2001:de8:c::2635:1, 2001:7fa:7:1::2635:1, 2001:de8:5::2635:1);()
<AS6939, tyo1, AS38001, 2402:2f80:1::/48>|(2001:de8:c::3:8001:1, 2001:de8:8::3:8001:1, 2001:de8:5::3:8001:1);()
<AS6939, hkg1, AS10310, 2001:43f8:1140::/48>|(2001:7fa:0:1::ca28:a1b8, 2001:7fa:0:1::ca28:a1b7, 2001:de8:7::1:310:1);()
<AS6939, hkg1, AS18403, 2001:df6:1e00::/48>|(2001:7fa:0:1::ca28:a0fc, 2403:c780:b800:bb00:0:1:8403:1, 2001:de8:7::1:8403:2);()
<AS6939, hkg1, AS22822, 2607:f4e8:ac2::/48>|(2001:df0:296::a502:2822:1, 2001:7fa:0:1::ca28:a15c, 2001:de8:7::2:2822:1);()
<AS6939, hkg1, AS8075, 2001:df0:7::/48>|(2001:df0:296::a500:8075:1, 2403:c780:b800:bb00::8075:2, 2001:de8:7::8075:1);()
<AS6939, tyo1, AS22822, 2402:6800:730::/48>|(2001:de8:5::2:2822:1, 2001:de8:8::2:2822:1, 2001:de8:c::2:2822:1);()
<AS6939, tyo1, AS54113, 2a04:4e42:5::/48>|(2001:de8:5::5:4113:1, 2001:7fa:7:1:0:5:4113:1, 2001:de8:c::5:4113:3);()
<AS6939, tyo1, AS8220, 2620:ad:8084::/48>|(2001:de8:8::8220:1, 2001:7fa:7:1::8220:1, 2001:de8:c::8220:1);()
<AS6939, sea1, AS13335, 2400:cb00:12::/48>|(2001:504:16::3417, 2001:504:12::1:3335:1, 2606:a980:0:4::7);()
<AS6939, vno1, AS202085, 2a0d:1580::/48>|(2001:7f8:b4:4b:5295:3:1565:1, 2001:1ab8:8486::38);()
<AS6939, jnb1, AS2018, 2001:4200:7000::/48>|(2001:43f8:6d0::216, 2001:43f8:1f0::33);()
<AS6939, jnb1, AS33764, 2001:43f8:d00::/48>|(2001:43f8:1f0::160, 2001:43f8:1f0::60);()
<AS6939, jnb1, AS328112, 2c0f:f3c8:10::/48>|(2001:43f8:6d0::8112, 2001:43f8:1f0::74);()
<AS6939, cpt1, AS2018, 2001:4200:7800::/48>|(2001:43f8:6d1::67, 2001:43f8:1f1::33);()
<AS6939, cpt1, AS328112, 2c0f:f3c8::/48>|(2001:43f8:6d1::43, 2001:43f8:1f1::74);()
<AS6939, jnb1, AS8075, 2001:df0:d7::/48>|(2001:43f8:6d0::9:133, 2001:43f8:6d0::133);()
<AS6939, jnb1, AS6968, 2001:43f8:30::/48>|(2001:43f8:1f0::29, 2001:43f8:6d0::16);()
<AS6939, jnb1, AS37662, 2c0f:f748:101::/48>|(2001:43f8:6d0::9:232, 2001:43f8:6d0::232);()
<AS6939, jnb1, AS54113, 2a04:4e42:ffa::/48>|(2001:43f8:6d0::8:13, 2001:43f8:6d0::9:103);()
<AS6939, jnb1, AS36236, 2607:f740:22::/48>|(2001:43f8:6d0::9:147);(2001:470:1:922::2)
